plev,time,pc
100000.0,1850-08-14 12:00:00,0.8988061492132523
100000.0,1850-08-15 12:00:00,1.027771774656545
100000.0,1850-08-16 12:00:00,1.1732983432072654
100000.0,1850-08-17 12:00:00,0.9122793663892022
100000.0,1850-08-18 12:00:00,0.9344868165800698
100000.0,1850-08-19 12:00:00,1.1909259850132214
100000.0,1850-08-20 12:00:00,0.9726494687568921
100000.0,1850-08-21 12:00:00,0.6513636375215276
100000.0,1850-08-22 12:00:00,0.25930307716200773
100000.0,1850-08-23 12:00:00,-0.07624648705209773
100000.0,1850-08-24 12:00:00,0.44178867392909205
100000.0,1850-08-25 12:00:00,0.9219771009210372
100000.0,1850-08-26 12:00:00,1.340442785978201
100000.0,1850-08-27 12:00:00,2.1375084481439774
100000.0,1850-08-28 12:00:00,1.934063224513352
100000.0,1850-08-29 12:00:00,1.1819612487743956
100000.0,1850-08-30 12:00:00,0.5873543376231609
100000.0,1850-08-31 12:00:00,0.5861226899238543
100000.0,1850-09-01 12:00:00,-0.18199890819203907
100000.0,1850-09-02 12:00:00,-1.1732758181458738
100000.0,1850-09-03 12:00:00,-1.458436675053077
100000.0,1850-09-04 12:00:00,-1.1302800299429863
100000.0,1850-09-05 12:00:00,-0.11891610814029616
100000.0,1850-09-06 12:00:00,0.7810937744943287
100000.0,1850-09-07 12:00:00,0.569858196866174
100000.0,1850-09-08 12:00:00,0.4720868504599152
100000.0,1850-09-09 12:00:00,0.762143918203008
100000.0,1850-09-10 12:00:00,0.7222368033067212
100000.0,1850-09-11 12:00:00,0.5238720398217298
100000.0,1850-09-12 12:00:00,0.5900417725692348
100000.0,1850-09-13 12:00:00,0.4489369729982952
100000.0,1850-09-14 12:00:00,0.8383443541874681
100000.0,1850-09-15 12:00:00,0.5226670320609774
100000.0,1850-09-16 12:00:00,-0.07577346159710545
100000.0,1850-09-17 12:00:00,-0.06759857008088344
100000.0,1850-09-18 12:00:00,0.011235842098719055
100000.0,1850-09-19 12:00:00,-0.1302382999239513
100000.0,1850-09-20 12:00:00,0.15108156851085586
100000.0,1850-09-21 12:00:00,1.1245363236889452
100000.0,1850-09-22 12:00:00,1.417270586582953
100000.0,1850-09-23 12:00:00,1.7739655493694053
100000.0,1850-09-24 12:00:00,2.076605699104831
100000.0,1850-09-25 12:00:00,0.6493971443398115
100000.0,1850-09-26 12:00:00,-0.09310473668528821
100000.0,1850-09-27 12:00:00,0.35496279021496563
100000.0,1851-05-04 12:00:00,0.5791379049771267
100000.0,1851-05-05 12:00:00,0.15862118141342468
100000.0,1851-05-06 12:00:00,-0.0317574976641202
100000.0,1851-05-07 12:00:00,0.17290113764087542
100000.0,1851-05-08 12:00:00,0.6283398237838403
100000.0,1851-05-09 12:00:00,0.70922599068235
100000.0,1851-05-10 12:00:00,0.42375384029663793
100000.0,1851-05-11 12:00:00,0.8402613443081386
100000.0,1851-05-12 12:00:00,1.4282699127619523
100000.0,1851-05-13 12:00:00,1.4624939084860475
100000.0,1851-05-14 12:00:00,1.3038606983692016
100000.0,1851-05-15 12:00:00,0.9515499024102292
100000.0,1851-05-16 12:00:00,0.5974393978183282
100000.0,1851-05-17 12:00:00,0.18505875525322063
100000.0,1851-05-18 12:00:00,-0.09390068182506371
100000.0,1851-05-19 12:00:00,-0.07584117311197418
100000.0,1851-05-20 12:00:00,0.27279378861171794
100000.0,1851-05-21 12:00:00,0.5436946757081053
100000.0,1851-05-22 12:00:00,0.7468478841914146
100000.0,1851-05-23 12:00:00,1.0000553110910717
100000.0,1851-05-24 12:00:00,0.8277916917162872
100000.0,1851-05-25 12:00:00,0.2512032918792797
100000.0,1851-05-26 12:00:00,0.007185760401177023
100000.0,1851-05-27 12:00:00,-0.044598794722462066
100000.0,1851-05-28 12:00:00,0.050932059038254665
100000.0,1851-05-29 12:00:00,0.42466503209679474
100000.0,1851-05-30 12:00:00,0.688454700821867
100000.0,1851-05-31 12:00:00,0.8277473370338779
100000.0,1851-06-01 12:00:00,0.3727926552207534
100000.0,1851-06-02 12:00:00,0.4377421374058368
100000.0,1851-06-03 12:00:00,0.538666036375702
100000.0,1851-06-04 12:00:00,0.44595809324177443
100000.0,1851-06-05 12:00:00,0.033743907873360034
100000.0,1851-06-06 12:00:00,-0.1824884708520645
100000.0,1851-06-07 12:00:00,-0.027865765898325477
100000.0,1851-06-08 12:00:00,-0.08088152108507528
100000.0,1851-06-09 12:00:00,-0.38859259055006534
100000.0,1851-06-10 12:00:00,-0.34853575611187054
100000.0,1851-06-11 12:00:00,-0.08273005484941005
100000.0,1851-06-12 12:00:00,-0.22279057829552407
100000.0,1851-06-13 12:00:00,-0.44027567810872775
